Unit Price,Unit Cost,Sold Quantity,Sales,COGS,Marketing,Total Expenses,Pre-Sales Inventory,Profit,Margin,Expected Sales,Expected COGS,Expected Profit,Expected Margin,ReportId
4.5,2.69,666.0,2997.0,1791.54,226.44,2017.98,948.0,979.02,,4545.65,2346.51,2199.14,48.38,JB578CJ
4.5,2.69,1161.0,5224.5,3123.09,394.74,3517.83,2012.0,1706.67,24.0,7235.12,3904.6,3330.52,46.03,UZ650HV
4.5,2.69,409.0,1840.5,1100.21,139.06,1239.27,581.0,601.23,25.56,2063.32,1179.02,884.3,42.86,VB278N7
4.5,2.69,1071.0,4819.5,2880.99,364.14,,1629.0,1574.3700000000003,25.06,6674.26,3430.39,,48.6,TL8282Y
4.5,2.69,735.0,3307.5,1977.15,249.9,2227.05,1217.0,1080.4500000000005,24.39,5016.6,2589.61,2426.99,48.38,FB512II
4.5,2.69,1153.0,5188.5,3101.57,392.02,3493.59,1622.0,1694.91,25.63,7185.27,3877.69,3307.58,46.03,HX87172
4.5,2.69,817.0,3676.5,2197.73,277.78,2475.51,1421.0,1200.9899999999998,23.97,4121.6,2355.15,1766.45,42.86,OT3801E
4.5,2.69,795.0,3577.5,2138.55,270.3,2408.8500000000004,,1168.6499999999996,25.47,4954.28,2546.37,2407.91,48.6,PG10018
4.5,2.69,444.0,1998.0,1194.36,150.96,1345.32,616.0,652.6800000000001,25.73,3030.44,1564.34,,48.38,BM5695N
4.5,2.69,756.0,3402.0,2033.64,257.04,2290.68,1311.0,1111.3200000000002,,4711.24,2542.53,2168.71,46.03,VP068F8
4.5,2.69,439.0,,1180.91,149.26,1330.17,832.0,645.3299999999999,23.19,2214.66,1265.5,949.16,42.86,FP1369X
4.5,2.69,1116.0,5022.0,3002.04,379.44,3381.48,1870.0,1640.52,24.29,6954.69,3574.53,3380.16,48.6,SI353RZ
4.5,2.69,318.0,1431.0,855.42,108.12,963.54,417.0,467.46,26.11,2170.45,1120.4,1050.05,,WG214KL
4.5,2.69,741.0,3334.5,1993.29,251.94,2245.23,,1089.27,24.81,,2492.08,2125.69,46.03,GL2837X
4.5,2.69,879.0,3955.5,2364.51,298.86,2663.37,1548.0,1292.13,23.86,4434.37,2533.88,1900.49,,KE883VV
4.5,2.69,451.0,2029.5,1213.19,153.34,1366.53,874.0,662.97,22.98,2810.54,1444.55,1365.99,48.6,AA370ST
4.5,2.69,1108.0,,2980.52,376.72,3357.24,2015.0,1628.7600000000002,23.57,7562.44,3903.8,3658.64,48.38,PG144Y0
4.5,2.69,775.0,3487.5,,263.5,2348.25,1460.0,1139.25,23.25,4829.65,2606.43,2223.22,46.03,XU74274
4.5,2.69,919.0,4135.5,2472.11,312.46,2784.57,1293.0,1350.9299999999998,25.63,4636.16,2649.19,1986.97,42.86,YK777JO
4.5,2.69,751.0,3379.5,2020.19,255.34,,1356.0,1103.9699999999998,23.64,4680.08,2405.44,2274.64,48.6,WX5015J
4.5,2.69,1041.0,4684.5,2800.29,353.94,3154.23,1693.0,1530.27,24.54,7105.15,3667.74,3437.41,48.38,KM375T4
4.5,2.69,889.0,4000.5,2391.41,302.26,2693.67,1564.0,1306.83,23.87,5540.07,2989.82,2550.25,46.03,VJ603OM
4.5,2.69,1086.0,,2921.34,369.24,3290.58,2028.0,1596.42,23.33,5478.64,3130.6,2348.04,42.86,RP3423U
4.5,2.69,546.0,2457.0,1468.74,185.64,1654.38,849.0,802.6199999999999,24.89,,1748.83,1653.73,48.6,ZS498KZ
4.5,2.69,1003.0,4513.5,2698.07,341.02,3039.09,1810.0,1474.41,23.64,6845.78,3533.85,3311.93,48.38,PC340YI
4.5,,790.0,3555.0,2125.1,268.6,2393.7,1322.0,1161.3000000000002,24.3,4923.12,2656.87,2266.25,46.03,YO886RO
4.5,2.69,873.0,3928.5,2348.37,296.82,2645.19,1293.0,1283.31,25.26,4404.1,2516.58,1887.52,,SD49411
4.5,2.69,522.0,2349.0,1404.18,,1581.66,686.0,767.3399999999999,26.1,3253.0,1671.96,1581.04,,FP864J0
4.5,2.69,360.0,1620.0,968.4,122.4,1090.8,701.0,529.2,22.93,2457.11,1268.38,1188.73,48.38,JZ92612
4.5,2.69,1182.0,5319.0,,401.88,3581.46,1579.0,1737.54,25.99,7365.99,3975.22,3390.77,46.03,VC069B2
4.5,2.69,,3901.5,2332.23,294.78,2627.01,1437.0,1274.4899999999998,24.38,4373.84,2499.29,1874.55,42.86,WQ961D0
4.5,2.69,1074.0,4833.0,2889.06,365.16,3254.22,1624.0,1578.7800000000002,25.11,6692.96,3440.0,3252.96,48.6,NI002DY
4.5,2.69,676.0,3042.0,1818.44,229.84,2048.28,1258.0,993.7199999999998,23.36,4613.91,2381.74,2232.17,48.38,MV511OC
